iter	Passed	Remaining
694	20792	39042
695	20825	39018
696	20860	38997
697	20892	38972
698	20924	38944
699	20956	38919
700	20987	38891
701	21023	38873
702	21056	38847
703	21089	38824
704	21122	38798
705	21154	38772
706	21187	38749
707	21220	38723
708	21251	38696
709	21285	38673
710	21318	38650
711	21352	38625
712	21384	38599
713	21418	38576
714	21451	38553
715	21482	38525
716	21515	38499
717	21548	38474
718	21579	38446
719	21612	38421
720	21644	38394
721	21675	38366
722	21707	38341
723	21739	38314
724	21772	38290
725	21809	38272
726	21843	38248
727	21876	38223
728	21909	38198
729	21942	38173
730	21975	38148
731	22010	38126
732	22043	38101
733	22076	38076
734	22108	38051
735	22143	38028
736	22174	38001
737	22206	37974
738	22242	37953
739	22274	37926
740	22306	37900
741	22339	37875
742	22370	37846
743	22403	37821
744	22436	37796
745	22469	37770
746	22500	37742
747	22533	37717
748	22565	37688
749	22596	37660
750	22626	37629
751	22658	37603
752	22691	37578
753	22723	37550
754	22755	37523
755	22786	37495
756	22818	37468
757	22850	37440
758	22881	37412
759	22916	37389
760	22950	37365
761	22980	37336
762	23012	37307
763	23044	37281
764	23077	37255
765	23109	37229
766	23142	37203
767	23173	37174
768	23206	37148
769	23239	37122
770	23271	37095
771	23304	37069
772	23335	37040
773	23368	37015
774	23401	36988
775	23433	36962
776	23465	36935
777	23496	36905
778	23526	36875
779	23557	36846
780	23590	36820
781	23624	36796
782	23656	36769
783	23689	36743
784	23722	36716
785	23752	36685
786	23785	36661
787	23820	36637
788	23851	36609
789	23884	36582
790	23917	36556
791	23949	36528
792	23981	36500
793	24014	36475
794	24047	36448
795	24078	36420
796	24111	36393
797	24142	36365
798	24175	36339
799	24207	36310
800	24239	36284
801	24272	36256
802	24304	36229
803	24336	36201
804	24366	36171
805	24398	36144
806	24429	36114
807	24462	36088
808	24495	36062
809	24528	36035
810	24560	36008
811	24593	35982
812	24627	35956
813	24658	35926
814	24690	35899
815	24723	35873
816	24755	35845
817	24787	35817
818	24819	35789
